provider,experiment,ok,compatibility_status,comparable,question_count,cardinality,context_chars,evidence_position,wall_ms,server_ms,error_type
jev,parallel_question_scaling,True,,,1.0,,,,289.1887079458684,71.0,
jev,parallel_question_scaling,True,,,2.0,,,,328.6452079191804,111.0,
jev,parallel_question_scaling,True,,,4.0,,,,406.4356251619756,101.0,
jev,parallel_question_scaling,True,,,8.0,,,,327.0672911312431,107.0,
jev,parallel_question_scaling,True,,,16.0,,,,303.1648339238018,88.0,
jev,parallel_question_scaling,True,,,32.0,,,,378.74200008809566,156.0,
jev,parallel_question_scaling,True,,,64.0,,,,327.81783398240805,96.0,
jev,choice_cardinality_scaling,True,,,,2.0,,,267.4212078563869,48.0,
jev,choice_cardinality_scaling,True,,,,4.0,,,292.82604181207716,78.0,
jev,choice_cardinality_scaling,True,,,,16.0,,,277.24045887589455,58.0,
jev,choice_cardinality_scaling,True,,,,8.0,,,380.09741716086864,98.0,
jev,choice_cardinality_scaling,True,,,,32.0,,,377.50358297489583,136.0,
jev,choice_cardinality_scaling,True,,,,64.0,,,288.01583289168775,65.0,
jev,choice_cardinality_scaling,True,,,,128.0,,,322.328332811594,104.0,
jev,context_length_position,True,,,,,500.0,start,310.11120812036097,70.0,
jev,context_length_position,True,,,,,500.0,middle,318.48566699773073,69.0,
jev,context_length_position,True,,,,,2000.0,start,292.2819168306887,73.0,
jev,context_length_position,True,,,,,2000.0,middle,292.24408394657075,63.0,
jev,context_length_position,True,,,,,500.0,end,352.6212500873953,134.0,
jev,context_length_position,True,,,,,8000.0,middle,317.1792500652373,96.0,
jev,context_length_position,True,,,,,2000.0,end,401.3944158796221,123.0,
jev,context_length_position,True,,,,,8000.0,end,272.6834579370916,60.0,
jev,context_length_position,True,,,,,8000.0,start,351.4761670958251,130.0,
jev,context_length_position,True,,,,,32000.0,middle,314.2190829385072,87.0,
jev,context_length_position,True,,,,,32000.0,start,336.9117078837007,110.0,
jev,context_length_position,True,,,,,32000.0,end,633.8001249823719,127.0,
laya,parallel_question_scaling,True,full_input,True,1.0,,,,43.65474986843765,43.65475,
laya,parallel_question_scaling,True,full_input,True,2.0,,,,79.15658387355506,79.156584,
laya,parallel_question_scaling,True,full_input,True,4.0,,,,151.06424991972744,151.06425,
laya,parallel_question_scaling,True,full_input,True,8.0,,,,299.53204188495874,299.532042,
laya,parallel_question_scaling,True,full_input,True,16.0,,,,609.9993330426514,609.999333,
laya,parallel_question_scaling,True,full_input,True,32.0,,,,1176.6874168533832,1176.687417,
laya,parallel_question_scaling,True,full_input,True,64.0,,,,2330.2255421876907,2330.225542,
laya,choice_cardinality_scaling,True,full_input,True,,2.0,,,14.744166983291507,14.744167,
laya,choice_cardinality_scaling,True,full_input,True,,4.0,,,15.806833980605006,15.806834,
laya,choice_cardinality_scaling,True,full_input,True,,8.0,,,21.098790923133492,21.098791,
laya,choice_cardinality_scaling,True,full_input,True,,16.0,,,29.768249951303005,29.76825,
laya,choice_cardinality_scaling,True,full_input,True,,32.0,,,28.20166596211493,28.201666,
laya,choice_cardinality_scaling,True,full_input,True,,64.0,,,31.815582886338234,31.815583,
