case_id,experiment,latency_ms,input_tokens,output_tokens,meta_question_count,question_id,type,label,p_true,confidence_top,pred,correct,brier,nll,meta_cardinality,reported_confidence,entropy_norm,p_label,meta_context_chars,meta_evidence_position
case_35b7d89df9fd6788,parallel_question_scaling,514.0586670022458,612,0,1.0,q_000,noul,1,0.9996646498695336,0.9996646498695336,1,1,1.124597100038127e-07,0.00033540637289566265,,,,,,
case_bb92abb17b8d91ee,parallel_question_scaling,554.0472499560565,1224,0,2.0,q_000,noul,1,0.9996646498695336,0.9996646498695336,1,1,1.124597100038127e-07,0.00033540637289566265,,,,,,
case_bb92abb17b8d91ee,parallel_question_scaling,554.0472499560565,1224,0,2.0,q_001,noul,0,0.005911068856243796,0.9940889311437562,0,1,3.4940735023255335e-05,0.005928608376116514,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,684.5526660326868,2448,0,4.0,q_000,noul,1,0.9996646498695336,0.9996646498695336,1,1,1.124597100038127e-07,0.00033540637289566265,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,684.5526660326868,2448,0,4.0,q_001,noul,0,0.004609572179374208,0.9953904278206258,0,1,2.124815567686069e-05,0.004620229018803907,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,684.5526660326868,2448,0,4.0,q_002,noul,1,0.9991959140643708,0.9991959140643708,1,1,6.465541918766782e-07,0.000804409386124753,,,,,,
case_f6c59dc3f2e31cf4,parallel_question_scaling,684.5526660326868,2448,0,4.0,q_003,noul,0,0.08509904500702024,0.9149009549929797,0,1,0.007241847461106857,0.08893946547493875,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_000,noul,1,0.999704042886487,0.999704042886487,1,1,8.759061303897379e-08,0.0002960009174625053,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_001,noul,0,0.004609572179374208,0.9953904278206258,0,1,2.124815567686069e-05,0.004620229018803907,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_002,noul,1,0.9991959140643708,0.9991959140643708,1,1,6.465541918766782e-07,0.000804409386124753,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_003,noul,0,0.07585818002124356,0.9241418199787564,0,1,0.0057544634761353955,0.07888973429254963,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_004,noul,1,0.998498817743263,0.998498817743263,1,1,2.253548167942023e-06,0.0015023101597543026,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_005,noul,0,0.04742587317756679,0.9525741268224333,0,1,0.002249213446654649,0.04858735157374202,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_006,noul,1,0.9990889488055994,0.9990889488055994,1,1,8.300142788187649e-07,0.0009114664537742021,,,,,,
case_0ed334adb767ff82,parallel_question_scaling,896.039041923359,4896,0,8.0,q_007,noul,0,0.017986209962091555,0.9820137900379085,0,1,0.0003235037488004415,0.01814992791780973,,,,,,
case_ed6ffbd064b36a94,parallel_question_scaling,1375.0849580392241,9798,0,16.0,q_000,noul,1,0.999704042886487,0.999704042886487,1,1,8.759061303897379e-08,0.0002960009174625053,,,,,,
case_ed6ffbd064b36a94,parallel_question_scaling,1375.0849580392241,9798,0,16.0,q_001,noul,0,0.004609572179374208,0.9953904278206258,0,1,2.124815567686069e-05,0.004620229018803907,,,,,,
case_ed6ffbd064b36a94,parallel_question_scaling,1375.0849580392241,9798,0,16.0,q_002,noul,1,0.9992903296008995,0.9992903296008995,1,1,5.036320753594999e-07,0.0007099223343392451,,,,,,
case_ed6ffbd064b36a94,parallel_question_scaling,1375.0849580392241,9798,0,16.0,q_003,noul,0,0.0953494648991095,0.9046505351008904,0,1,0.009091520456546515,0.10020655891674729,,,,,,
case_ed6ffbd064b36a94,parallel_question_scaling,1375.0849580392241,9798,0,16.0,q_004,noul,1,0.9986749775827868,0.9986749775827868,1,1,1.7556844061175577e-06,0.0013259010356280994,,,,,,
case_ed6ffbd064b36a94,parallel_question_scaling,1375.0849580392241,9798,0,16.0,q_005,noul,0,0.04208772791561884,0.9579122720843811,0,1,0.0017713768410991617,0.042999079229087855,,,,,,
